#Неправильные глаголы, которые я сам нашел и хочу выучить
#separator:Semicolon
#html:true
#tags:verb verb_my ver_irregular
#notetype:German
#columns:Front;Form2;Form3;Back;Example;ExampleTranslation;
verbinden;verband;verbunden;соединять, связывать;<i>Ich <b>verbinde</b> niemanden.</i>;<i>Я никого не <b>соединяю</b>.</i>;
empfehlen;empfahl;empfohlen;рекомендовать, советовать;<i>Ich <b>empfehle</b> dieses Restaurant.</i>;<i>Я <b>рекомендую</b> этот ресторан.</i>;
anfangen (fängt an);fing an;angefangen;начинать;<i>Wir können jetzt mit der Arbeit <b>anfangen</b>.</i>;<i>Мы можем сейчас <b>начать</b> работу.</i>;
