#Указательные местоимения
#separator:Semicolon
#html:true
#tags:pronoun местоимение
#columns:Front;Back;Example
dieser, dieses, diese, diese;этот, это, эта, эти;<i>Ich mag <b>diesen</b> Film.</i>
solcher, solches, solche, solche;такой, такое, такая, такие;<i>Ich habe noch nie <b>solches</b> Wetter erlebt.</i>
mancher, macnches, manche, manche;некоторый, некоторое, некоторая, некоторые;<i><b>Manche</b> Leute verstehen das nicht.</i>
jener, jenes, jene, jene;тот, то, та, те;<i>Ich nehme <b>jenen</b> Apfel dort.</i>
jeder, jedes, jede, jede;каждый, каждое, каждая, каждые;<i><b>Jeder</b> Mensch hat das Recht auf Freiheit.</i>
